1478191030.045114,0316,8,05,22,68,09,22,20,00,75,R
1478191030.045353,018f,8,fe,3b,00,00,00,3c,00,00,R
1478191030.045580,0260,8,19,22,22,30,ff,8f,6e,3f,R
1478191030.045815,02a0,8,60,00,83,1d,96,02,bd,00,R
1478191030.046043,0329,8,dc,b8,7e,14,11,20,00,14,R
1478191030.046288,0545,8,d8,00,00,83,00,00,00,00,R
1478191030.048193,02c0,8,15,00,00,00,00,00,00,00,R
1478191030.050885,0002,8,00,00,00,00,00,07,09,06,R
1478191030.051119,0153,8,00,21,10,ff,00,ff,00,00,R
1478191030.051806,0130,8,03,80,00,ff,2e,80,09,ee,R
1478191030.052049,0131,8,00,80,00,00,3e,7f,09,f6,R
1478191030.052295,0140,8,00,00,00,00,04,00,29,7e,R
1478191030.053265,043f,8,00,40,60,ff,70,ac,08,00,R
1478191030.053515,0370,8,00,20,00,00,00,00,00,00,R
1478191030.053757,0440,8,ff,00,00,00,ff,ac,08,00,R
1478191030.054274,0350,8,05,20,44,68,72,00,00,7b,R
1478191030.054949,04f0,8,00,00,00,80,00,67,d1,13,R
1478191030.055174,0316,8,05,22,68,09,22,20,00,75,R
1478191030.055414,018f,8,fe,3b,00,00,00,3c,00,00,R
1478191030.055647,0260,8,19,22,22,30,ff,8f,6e,0c,R
1478191030.055886,02a0,8,00,00,83,1d,96,02,bd,00,R
1478191030.056118,0329,8,dc,b8,7e,14,11,20,00,14,R
1478191030.056363,0545,8,d8,00,00,83,00,00,00,00,R
1478191030.058173,02c0,8,15,00,00,00,00,00,00,00,R
1478191030.060914,0430,8,00,00,00,00,00,00,00,00,R
1478191030.061157,04b1,8,00,00,00,00,00,00,00,00,R
1478191030.061405,01f1,8,08,00,00,00,00,00,00,00,R
1478191030.061644,0153,8,00,21,10,ff,00,ff,00,00,R
1478191030.061892,0002,8,00,00,00,00,00,08,0a,82,R
1478191030.062813,0130,8,02,80,00,ff,22,80,0a,9e,R
1478191030.063050,0131,8,fb,7f,00,00,38,7f,0a,41,R
1478191030.063290,0140,8,00,00,00,00,02,12,2a,70,R
1478191030.063542,0370,8,00,20,00,00,00,00,00,00,R
1478191030.063784,043f,8,00,40,60,ff,70,aa,08,00,R
1478191030.064023,0440,8,ff,00,00,00,ff,aa,08,00,R
1478191030.064307,0350,8,05,20,54,68,73,00,00,6a,R
1478191030.064555,0690,8,00,00,01,00,a0,02,00,00,R
1478191030.065173,0316,8,05,22,6c,09,22,20,00,75,R
1478191030.065410,018f,8,fe,3b,00,00,00,3c,00,00,R
1478191030.065638,0260,8,19,22,22,30,ff,8f,6e,1d,R
1478191030.065876,02a0,8,20,00,83,1d,96,02,bd,00,R
1478191030.066110,0329,8,0c,b8,7e,14,11,20,00,14,R
1478191030.066350,0545,8,d8,59,00,84,00,00,00,00,R
1478191030.067627,05f0,2,01,00,R
1478191030.068167,02c0,8,15,00,00,00,00,00,00,00,R
1478191030.070894,0002,8,00,00,00,00,00,08,0b,9f,R
1478191030.071131,0153,8,00,21,10,ff,00,ff,00,00,R
1478191030.071813,0130,8,05,80,00,ff,34,80,0b,10,R
1478191030.072053,0131,8,09,80,00,00,37,7f,0b,c0,R
1478191030.072299,0140,8,00,00,00,00,04,0f,2b,e7,R
1478191030.073241,043f,8,00,40,60,ff,70,a8,08,00,R
1478191030.073487,0370,8,00,20,00,00,00,00,00,00,R
1478191030.073730,0440,8,ff,00,00,00,ff,a8,08,00,R
1478191030.074240,0350,8,05,20,64,68,73,00,00,5a,R
1478191030.074914,04f0,8,00,00,00,80,00,67,d1,13,R
1478191030.075254,0316,8,05,22,6c,09,22,20,00,75,R
1478191030.075496,018f,8,fe,3b,00,00,00,3c,00,00,R
1478191030.075724,0260,8,19,22,22,30,ff,8f,6f,2d,R
1478191030.075960,02a0,8,40,00,83,1d,96,02,bd,00,R
1478191030.076195,0329,8,0c,b8,7e,14,11,20,00,14,R
1478191030.076437,0545,8,d8,00,00,85,00,00,00,00,R
1478191030.078164,02c0,8,15,00,00,00,00,00,00,00,R
1478191030.080908,0430,8,00,00,00,00,00,00,00,00,R
1478191030.081146,04b1,8,00,00,00,00,00,00,00,00,R
1478191030.081394,01f1,8,08,00,00,00,00,00,00,00,R
1478191030.081632,0153,8,00,21,10,ff,00,ff,00,00,R
1478191030.081882,0002,8,00,00,00,00,00,08,0c,cc,R
1478191030.082126,00a0,8,5d,82,6c,09,00,1f,02,00,R
1478191030.082362,00a1,8,80,83,00,00,24,00,00,00,R
1478191030.082809,0130,8,08,80,00,ff,4f,80,0c,6d,R
1478191030.083045,0131,8,0e,80,00,00,34,7f,0c,91,R
1478191030.083287,0140,8,00,00,00,00,06,02,2c,8c,R
